factor,mean_abs_loading_between,mean_abs_loading_within
0,0.24997475220924195,0.18114285142373446
1,0.2129656225978884,0.1371153282884263
2,0.17583301572519192,0.17911041632410915
3,0.16140574175956124,0.11160624251897969
4,0.14700300748907505,0.11483447736890293
5,0.12640183412635764,0.10050687890669863
6,0.11681322941302388,0.0905157953344553
7,0.11093434391487875,0.097674159976399
8,0.10905684556526356,0.08810920195910864
9,0.10656832766011894,0.09415939818027023
10,0.10044542490079116,0.07629504139191737
11,0.09384256262929004,0.09625688486546809
12,0.09169161932695682,0.09395585244314465
13,0.08888695986178093,0.06624882112873226
14,0.08508298493855984,0.09624902712643106
15,0.08178106530784737,0.06644832064791002
16,0.08217838081564768,0.06708641346286247
17,0.08123797047530058,0.07366042734306646
18,0.07692294946107012,0.09468915556104379
19,0.0772092060322463,0.06424793319623386
20,0.07323229507544289,0.07532202487090595
21,0.07314729428526,0.07234894841050674
22,0.07145049464283629,0.06107670391613817
23,0.06956098913636392,0.07620055368388894
24,0.0674224133268757,0.07472461307470354
