Hypothesis,Fork,Level,Total,# Favourable,% Favourable
H2,D1 Connectivity,Mutual Information,6,0,0.0
H2,D1 Connectivity,Partial Correlation,6,0,0.0
H2,D1 Connectivity,Pearson (Fisher z),6,6,100.0
H2,D1 Connectivity,Spearman,6,6,100.0
H2,D2 Confound,ComBat Harmonization,8,4,50.0
H2,D2 Confound,None,8,4,50.0
H2,D2 Confound,OLS Confound Removal,8,4,50.0
H2,D5 Domain,7 Domains,12,6,50.0
H2,D5 Domain,14 Subdomains,12,6,50.0
H3,D1 Connectivity,Mutual Information,96,0,0.0
H3,D1 Connectivity,Partial Correlation,96,24,25.0
H3,D1 Connectivity,Pearson (Fisher z),96,36,37.5
H3,D1 Connectivity,Spearman,96,40,41.7
H3,D2 Confound,ComBat Harmonization,128,28,21.9
H3,D2 Confound,None,128,32,25.0
H3,D2 Confound,OLS Confound Removal,128,40,31.2
H3,D3 Reduction,Factor Analysis,96,44,45.8
H3,D3 Reduction,ICA,96,12,12.5
H3,D3 Reduction,NMF,96,12,12.5
H3,D3 Reduction,PCA,96,32,33.3
H3,D4 Classifier,Elastic Net,96,25,26.0
H3,D4 Classifier,Logistic Regression,96,25,26.0
H3,D4 Classifier,Random Forest,96,25,26.0
H3,D4 Classifier,Linear SVM,96,25,26.0
H3,D5 Domain,7 Domains,192,48,25.0
H3,D5 Domain,14 Subdomains,192,52,27.1
H1,D1 Connectivity,Mutual Information,96,8,8.3
H1,D1 Connectivity,Partial Correlation,96,28,29.2
H1,D1 Connectivity,Pearson (Fisher z),96,20,20.8
H1,D1 Connectivity,Spearman,96,16,16.7
H1,D2 Confound,ComBat Harmonization,128,34,26.6
H1,D2 Confound,None,128,14,10.9
H1,D2 Confound,OLS Confound Removal,128,24,18.8
H1,D3 Reduction,Factor Analysis,96,8,8.3
H1,D3 Reduction,ICA,96,52,54.2
H1,D3 Reduction,NMF,96,10,10.4
H1,D3 Reduction,PCA,96,2,2.1
H1,D4 Classifier,Elastic Net,96,24,25.0
H1,D4 Classifier,Logistic Regression,96,18,18.8
H1,D4 Classifier,Random Forest,96,14,14.6
H1,D4 Classifier,Linear SVM,96,16,16.7
H1,D5 Domain,7 Domains,192,36,18.8
H1,D5 Domain,14 Subdomains,192,36,18.8
